epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3271.9,0.90936,0.49523,0.83077,0.94683,0.97576,0.98892,0.78255,0.81318,0.45585,0.83375,0.0015941,0.0015941,0.0015941
43,3349.23,0.90995,0.48362,0.83477,0.9515,0.97576,0.98663,0.7958,0.76363,0.41719,0.83493,0.0015842,0.0015842,0.0015842
44,3426.59,0.90528,0.48515,0.8387,0.9343,0.97273,0.98706,0.79327,0.75154,0.43122,0.84323,0.0015743,0.0015743,0.0015743
45,3503.96,0.85326,0.46172,0.83492,0.95387,0.96061,0.9853,0.79589,0.7873,0.45011,0.84095,0.0015644,0.0015644,0.0015644
46,3581.2,0.89023,0.4654,0.83299,0.96834,0.98485,0.98714,0.77669,0.82881,0.41678,0.84285,0.0015545,0.0015545,0.0015545
47,3658.21,0.84133,0.4739,0.84276,0.9778,0.95758,0.98926,0.80331,0.73518,0.41557,0.83556,0.0015446,0.0015446,0.0015446
48,3737.04,0.8609,0.49323,0.83436,0.97516,0.95178,0.9891,0.75349,0.89112,0.4682,0.85393,0.0015347,0.0015347,0.0015347
49,3813.98,0.90275,0.4984,0.8316,0.95539,0.97357,0.98394,0.78377,0.83905,0.44872,0.842,0.0015248,0.0015248,0.0015248
50,3890.89,0.86738,0.4655,0.83758,0.9726,0.96818,0.9901,0.7927,0.82179,0.44519,0.8368,0.0015149,0.0015149,0.0015149
51,3967.75,0.89452,0.47614,0.83028,0.97026,0.97576,0.9887,0.80535,0.74554,0.40559,0.83161,0.001505,0.001505,0.001505
52,4046.55,0.85093,0.46354,0.82527,0.96562,0.97879,0.9884,0.79418,0.76911,0.41017,0.82578,0.0014951,0.0014951,0.0014951
53,4123.8,0.82676,0.44448,0.81838,0.9314,0.98743,0.98245,0.79937,0.77148,0.42029,0.83376,0.0014852,0.0014852,0.0014852
54,4201.13,0.85595,0.45572,0.82712,0.94072,0.9697,0.98321,0.79084,0.76869,0.42486,0.83234,0.0014753,0.0014753,0.0014753
55,4278.46,0.84228,0.4469,0.82988,0.96702,0.96061,0.98654,0.78546,0.83427,0.4296,0.83605,0.0014654,0.0014654,0.0014654
56,4355.83,0.8624,0.45142,0.82174,0.96367,0.96456,0.9839,0.7852,0.7875,0.4259,0.82544,0.0014555,0.0014555,0.0014555
57,4433.19,0.84066,0.44327,0.83165,0.94888,0.9697,0.98348,0.80071,0.73109,0.41829,0.82848,0.0014456,0.0014456,0.0014456
58,4510.53,0.82829,0.45534,0.819,0.96402,0.98182,0.98671,0.79375,0.78593,0.43265,0.83236,0.0014357,0.0014357,0.0014357
59,4587.6,0.81147,0.45513,0.8152,0.95105,0.98485,0.98523,0.79246,0.74891,0.4132,0.83646,0.0014258,0.0014258,0.0014258
60,4664.55,0.82969,0.45057,0.82473,0.9475,0.98444,0.98742,0.78859,0.79696,0.43043,0.84199,0.0014159,0.0014159,0.0014159
61,4741.42,0.8488,0.45506,0.8227,0.95612,0.98182,0.98458,0.80283,0.74161,0.4079,0.83581,0.001406,0.001406,0.001406
62,4818.28,0.82597,0.45466,0.83197,0.95132,0.94744,0.98628,0.77931,0.84443,0.44932,0.83775,0.0013961,0.0013961,0.0013961
63,4895.06,0.84291,0.45791,0.82332,0.96285,0.96364,0.98812,0.80446,0.74513,0.39603,0.83429,0.0013862,0.0013862,0.0013862
64,4971.98,0.80337,0.42673,0.821,0.95544,0.97471,0.98793,0.81376,0.70935,0.3847,0.82552,0.0013763,0.0013763,0.0013763
65,5050.98,0.80165,0.42733,0.82119,0.96913,0.97273,0.99026,0.80975,0.72468,0.38632,0.82684,0.0013664,0.0013664,0.0013664
66,5128.31,0.84257,0.43782,0.83066,0.95813,0.97273,0.98844,0.79384,0.78988,0.41384,0.83616,0.0013565,0.0013565,0.0013565
