epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
181,14007.6,0.59815,0.2903,0.78624,0.96431,0.98242,0.98206,0.83005,0.66835,0.32085,0.80642,0.000218,0.000218,0.000218
182,14084.4,0.57931,0.28436,0.78176,0.97598,0.98482,0.98418,0.83489,0.64837,0.30732,0.80885,0.0002081,0.0002081,0.0002081
183,14161.2,0.56805,0.27752,0.78657,0.97603,0.98696,0.98403,0.83954,0.64165,0.29851,0.80752,0.0001982,0.0001982,0.0001982
184,14238,0.57364,0.28066,0.78744,0.97489,0.98485,0.98441,0.83011,0.66765,0.3141,0.809,0.0001883,0.0001883,0.0001883
185,14314.8,0.58033,0.28308,0.78142,0.97145,0.98182,0.98326,0.83473,0.64252,0.30346,0.80607,0.0001784,0.0001784,0.0001784
186,14391.9,0.55215,0.27358,0.77953,0.9759,0.98788,0.98491,0.83284,0.65658,0.30773,0.806,0.0001685,0.0001685,0.0001685
187,14469.1,0.55945,0.27852,0.77576,0.97593,0.98297,0.98416,0.83717,0.64831,0.30351,0.8058,0.0001586,0.0001586,0.0001586
188,14546.3,0.5616,0.27701,0.77647,0.97582,0.98182,0.98375,0.83734,0.65353,0.30595,0.80644,0.0001487,0.0001487,0.0001487
189,14623.6,0.5709,0.27843,0.77443,0.97304,0.98421,0.98417,0.83823,0.64896,0.30106,0.80635,0.0001388,0.0001388,0.0001388
190,14700.9,0.55355,0.2787,0.7819,0.97826,0.98788,0.98456,0.83523,0.66153,0.3076,0.80733,0.0001289,0.0001289,0.0001289
191,14779,0.51832,0.25349,0.78237,0.97284,0.98788,0.98426,0.84019,0.63476,0.30037,0.80293,0.000119,0.000119,0.000119
192,14856.4,0.49107,0.24676,0.77827,0.97599,0.98485,0.98435,0.84136,0.65347,0.30877,0.80319,0.0001091,0.0001091,0.0001091
193,14933.7,0.48925,0.24301,0.76964,0.979,0.9889,0.98439,0.83617,0.6508,0.30583,0.8031,9.92e-05,9.92e-05,9.92e-05
194,15010.8,0.49396,0.24581,0.7773,0.97729,0.98485,0.98417,0.83842,0.65314,0.30537,0.80476,8.93e-05,8.93e-05,8.93e-05
195,15088,0.48748,0.23985,0.77024,0.96583,0.98788,0.98309,0.83561,0.64899,0.30178,0.80712,7.94e-05,7.94e-05,7.94e-05
